twitter,2012,bulletin,1990,chat; gossip; babble; chitchat; blather; prattle; natter; schmooze;
twitter,2012,bulletin,1991,chat; message; instant messaging; text; email; communication; online; social media; interact; network
twitter,2012,bulletin,1992,microblog; update; post; message; share; status; chat; broadcast; newsfeed; communicate
twitter,2012,bulletin,1993,socialize; chat; talk; gossip; converse; interact; communicate; schmooze; babble; mingle
twitter,2012,bulletin,1994,chat; message; communicate; socialize; talk; converse; interact; discuss; meet; connect
twitter,2012,newspaper,1990,bulletin board; email; fax; phone call; letter; telegram; newsgroup; radio; television; newsletter
twitter,2012,newspaper,1991,tweet; chirp; peep; twittering; twit; chirrup; burble; cheep; tweetup
twitter,2012,newspaper,1992,chat; message; gossip; babble; chatter; talk; whisper; discuss; communicate; share
twitter,2012,newspaper,1993,internet; email; chat; bulletin board; online forum; IRC; Usenet; newsgroup; web; modem
twitter,2012,newspaper,1994,internet; chat; email; online; web; communication; message; connect; forum; network
twitter,2012,tabloid,1990,chat; message; gossip; network; connect; share; interact; bulletin; socialize; communicate
twitter,2012,tabloid,1991,tweet; chirp; birdcall; cheep; chirrup; warble; trill; tweetie; peep
twitter,2012,tabloid,1992,chat; message; chirp; converse; babble; gossip; tweet; communicate; interactive; network
twitter,2012,tabloid,1993,chat; chatter; babble; gossip; converse; blab; prattle; natter; gab; talk
twitter,2012,tabloid,1994,chat; message; online; network; connect; forum; communicate; social; interact; email
twitter,2012,gossip,1990,birdsong; chirping; warbling; tweeting; chatter; babble; twittering; murmur; chirrup;
twitter,2012,gossip,1991,chatter; babble; chatterbox; prattle; gossip; blather; natter; yap; jabber;
twitter,2012,gossip,1992,chat; message; bulletin; post; update; electronic mail; communicate; text; forum; share
twitter,2012,gossip,1993,email; chat; message; communicate; online; internet; web; connect; socialize; forum
twitter,2012,gossip,1994,chat; IRC; messaging; online; email; forum; BBS; newsgroup; communication; internet
pixar,2008,disney,1990,Disney; Warner Bros; Paramount; MGM; Universal; DreamWorks; Fox; Columbia; Lucasfilm; Miramax
pixar,2008,disney,1991,Disney; DreamWorks; Pixar; animation; Warner Bros; MGM; Fox; Universal; Paramount; Nickelodeon
pixar,2008,disney,1992,Disney; Amblin; Lucasfilm; DreamWorks; Warner Bros; MGM; Paramount; Universal; Columbia; Fox
pixar,2008,disney,1993,Disney; Warner Bros; DreamWorks; MGM; Universal; Paramount; Fox; Columbia; Lucasfilm; Miramax
pixar,2008,disney,1994,Disney; Animation; DreamWorks; Warner Bros; Nickelodeon; MGM; Paramount; Fox; Columbia; Universal
pixar,2008,warner,1990,Disney; animation; DreamWorks; Warner Bros; MGM; Paramount; Fox; Universal; Columbia; Nickelodeon
pixar,2008,warner,1991,Disney; animation; DreamWorks; Warner Bros; Nickelodeon; MGM; Fox; Paramount; Sony; Universal
pixar,2008,warner,1992,Disney; DreamWorks; animation; film; studio; Hollywood; movies; entertainment; CGI; filmmaker
pixar,2008,warner,1993,Disney; animation; DreamWorks; film; studio; movies; Hollywood; entertainment; CGI; Warner Bros.
pixar,2008,warner,1994,Disney; DreamWorks; Warner Bros; MGM; Paramount; Sony Pictures; Fox Animation; Universal Studios; Nickelodeon Movies
pixar,2008,mgm,1990,Disney; DreamWorks; Warner Bros; MGM; Paramount; Universal; Fox; Columbia; Miramax; Lucasfilm
pixar,2008,mgm,1991,Disney; animation; DreamWorks; Warner Bros; Nickelodeon; Fox; MGM; Paramount; Lucasfilm; Columbia
pixar,2008,mgm,1992,Disney; animation; DreamWorks; Warner Bros; film; studio; movies; cinematic; entertainment; Hollywood
pixar,2008,mgm,1993,Disney; Warner Bros; DreamWorks; MGM; Paramount; Fox; Universal; Columbia; Miramax; Lionsgate
pixar,2008,mgm,1994,Disney; DreamWorks; MGM; Warner Bros; Paramount; Universal; Columbia; Nickelodeon; Lucasfilm; Sony Pictures
dreamworks,2005,disney,1990,Disney; Pixar; Warner Bros; Paramount; Universal; MGM; Columbia; Lucasfilm; Amblin; Fox
dreamworks,2005,disney,1991,Disney; Pixar; Warner Bros; Universal Pictures; Paramount Pictures; Columbia Pictures; Metro-Goldwyn-Mayer; 20
dreamworks,2005,disney,1992,Pixar; Disney; Warner Bros; Paramount; Universal Studios; MGM; Fox Animation; Columbia Pictures; Nickelodeon Movies
